time_elapsed,close
50,0.271721958926
150,0.352432109818
250,0.341730195559
350,0.36292506771
450,0.364135407136
550,0.36292834891
650,0.353650586701
750,0.361970941251
850,0.367450731087
950,0.354881266491
1050,0.362372881356
1150,0.361628709455
1250,0.356079854809
1350,0.343657817109
1450,0.338241146041
1550,0.352195945946
1650,0.333483958427
1750,0.324350808427
1850,0.35283791691
1950,0.358658453114
2050,0.350793650794
2150,0.372177055104
2250,0.38961038961
2350,0.364508393285
2450,0.338853503185
2550,0.403903903904
2650,0.382905982906
2750,0.364661654135
2850,0.365217391304
2950,0.334152334152
3050,0.34126984127
3150,0.393586005831
3250,0.353115727003
3350,0.358422939068
3450,0.374501992032
3550,0.316239316239
3650,0.359375
3750,0.335365853659
3850,0.431034482759
3950,0.3125
4050,0.294871794872
4150,0.210526315789
4250,0.307692307692
4350,0.391304347826
4450,0.5
4550,0.375
4650,0.222222222222
4750,0.0
4850,0.0
4950,0.0
5050,0.0
5150,0.0
5250,0.0
5350,0.0
5450,0.0
5550,0.0
5650,0.0
5750,0.0
5850,0.0
5950,0.0
6050,0.0
6150,0.0
6250,0.0
6350,0.0
6450,0.0
6550,0.0
6650,0.0
6750,0.0
6850,0.0
6950,0.0
7050,0.0
7150,0.0
